school_year,dpi_true_id,school_name,accurate_agency_type,school_enrollment,grade_band,overall_rating,overall_score,ly_ach,sch_ach,sch_growth,sch_tgo,sch_ot,prof_count_ELA,prof_count_Mathematics,prof_percent_ELA,prof_percent_Mathematics
2023-24,0000_7980,Saint Thomas Aquinas Academy,Private,146,K-8,Significantly Exceeds Expectations,94.2,FALSE,86.7,97.3,95.9,91.6,69,72,0.7263157894736842,0.7578947368421053
2023-24,0000_1996,Nativity Jesuit Academy,Private,250,K-8,Significantly Exceeds Expectations,93.6,FALSE,64.2,98.2,95,89.9,77,93,0.5167785234899329,0.6241610738255033
2023-24,0000_8740,Yeshiva Elementary School,Private,202,K-8,Significantly Exceeds Expectations,89.7,FALSE,70.5,90.7,90.9,90.7,80,70,0.6153846153846154,0.5384615384615384
2023-24,3619_0398,Whittier Elementary,Instrumentality Charter,142,K-5,Significantly Exceeds Expectations,89,FALSE,74.9,91.7,NA,87.8,39,36,0.6842105263157895,0.631578947368421
2023-24,0000_1351,Risen Savior Lutheran School,Private,302,K-8,Significantly Exceeds Expectations,87.2,FALSE,44.6,100,85.1,74.9,65,58,0.3735632183908046,0.3333333333333333
2023-24,0000_1980,Mount Lebanon Lutheran School,Private,217,K-8,Significantly Exceeds Expectations,86.6,FALSE,53.1,91.6,90.4,80.6,60,45,0.5128205128205128,0.38461538461538464
2023-24,0000_7670,Saint Roman Parish School,Private,319,K-8,Significantly Exceeds Expectations,86.5,FALSE,59,94.5,83.8,80.1,85,96,0.4358974358974359,0.49230769230769234
2023-24,0000_4655,Saint John's Lutheran School,Private,272,K-8,Significantly Exceeds Expectations,85.5,FALSE,73.8,86.9,81.3,89.6,96,106,0.6075949367088608,0.6708860759493671
2023-24,3619_0435,Reagan College Preparatory High,Traditional Public,1349,9-12,Significantly Exceeds Expectations,84.9,TRUE,73.6,88.8,79.7,90.1,673,544,0.6650197628458498,0.5375494071146245
2023-24,0000_3935,Saint Gregory the Great Parish School,Private,171,K-8,Significantly Exceeds Expectations,84.7,FALSE,63.3,91.6,82.4,78.7,61,53,0.5258620689655172,0.45689655172413796
