school_name,accurate_agency_type,cfc_score,cfc_rating,achievement_floor,overall_score,overall_rating
Seeds of Health Elementary Program,2r/2x Charter,57.1,Meets Few Expectations,FALSE,65.4,Meets Expectations
Milwaukee Math and Science Academy,2r/2x Charter,56,Meets Few Expectations,TRUE,64.9,Meets Expectations
Carmen Middle School South,2r/2x Charter,55.7,Meets Few Expectations,FALSE,63.6,Meets Expectations
Darrell Lynn Hines Academy,2r/2x Charter,55,Meets Few Expectations,FALSE,65.5,Meets Expectations
Milwaukee Academy of Science,2r/2x Charter,54.9,Meets Few Expectations,FALSE,64.9,Meets Expectations
Tenor High,2r/2x Charter,54.5,Meets Few Expectations,FALSE,59.9,Meets Expectations
Dr Howard Fuller Collegiate Academy,2r/2x Charter,54.1,Meets Few Expectations,FALSE,63.5,Meets Expectations
Woodlands School - State Street Campus,2r/2x Charter,53.4,Meets Few Expectations,TRUE,49.2,Meets Few Expectations
Pathways High,2r/2x Charter,53.1,Meets Few Expectations,TRUE,62.2,Meets Expectations
Carmen High School of Science and Technology Southeast Campus,Non-Instrumentality Charter,51.1,Meets Few Expectations,FALSE,57.1,Meets Few Expectations
La Causa Charter School,Non-Instrumentality Charter,49.9,Meets Few Expectations,TRUE,59.3,Meets Expectations
Stellar Collegiate Charter School,2r/2x Charter,49.2,Meets Few Expectations,FALSE,55.9,Meets Few Expectations
Escuela Verde,2r/2x Charter,49,Meets Few Expectations,FALSE,55.9,Meets Few Expectations
Milwaukee Environmental Science Academy,Non-Instrumentality Charter,45.7,Fails to Meet Expectations,TRUE,56.3,Meets Few Expectations
Milwaukee Excellence Charter School,Non-Instrumentality Charter,44.7,Fails to Meet Expectations,TRUE,53.2,Meets Few Expectations
Carmen Middle/High School of Science and Technology Northwest Campus,Non-Instrumentality Charter,44.6,Fails to Meet Expectations,FALSE,51.2,Meets Few Expectations
Central City Cyberschool,2r/2x Charter,42.4,Fails to Meet Expectations,FALSE,52.3,Meets Few Expectations
Rocketship Transformation Prep,2r/2x Charter,38.5,Fails to Meet Expectations,TRUE,46.3,Fails to Meet Expectations
